timestamp(ms),C1 (pF),C2 (pF),C1-C2 (pF),Distance d ,ration des c ,ration des  eps,écart ,Distance d2 ,
"1781523044.336",,,,,,,,"6.561991",
"1781523044.37","1.058","0.153","0.905",,,,,,
"1781523044.375",,,,"6.7005743980407715",,,,,
"1781523044.381",,,,,"6.915032","4.894511","-0.700574",,
"1781523044.383",,,,,,,,"6.619759",
"1781523044.417","1.059","0.152","0.907",,,,,,
"1781523044.422",,,,"6.626835823059082",,,,,
"1781523044.428",,,,,"6.967105","4.894511","-0.626836",,
"1781523044.43",,,,,,,,"6.561991",
"1781523044.464","1.058","0.153","0.905",,,,,,
"1781523044.469",,,,"6.7005743980407715",,,,,
"1781523044.475",,,,,"6.915032","4.894511","-0.700574",,
"1781523044.477",,,,,,,,"6.619759",
"1781523044.511","1.059","0.152","0.907",,,,,,
"1781523044.516",,,,"6.626835823059082",,,,,
"1781523044.522",,,,,"6.967105","4.894511","-0.626836",,
"1781523044.524",,,,,,,,"6.561991",
"1781523044.558","1.059","0.153","0.906",,,,,,
"1781523044.563",,,,"6.69112491607666",,,,,
"1781523044.569",,,,,"6.921569","4.894511","-0.691125",,
"1781523044.571",,,,,,,,"6.612452",
"1781523044.604","1.059",,,,,,,,
"1781523044.605",,"0.152","0.907",,,,,,
"1781523044.61",,,,"6.626835823059082",,,,,
"1781523044.616",,,,,"6.967105","4.894511","-0.626836",,
"1781523044.618",,,,,,,,"6.561991",
"1781523044.652","1.058","0.152","0.906",,,,,,
"1781523044.657",,,,"6.6359639167785645",,,,,
"1781523044.663",,,,,"6.960526","4.894511",,,
"1781523044.665",,,,,,,"-0.635964","6.569233",
"1781523044.699","1.057","0.152","0.905",,,,,,
"1781523044.704",,,,"6.645143032073975",,,,,
"1781523044.71",,,,,"6.953948","4.894511","-0.645143",,
"1781523044.712",,,,,,,,"6.576492",
"1781523044.746","1.058","0.154","0.904",,,,,,
"1781523044.751",,,,"6.767059326171875",,,,,
"1781523044.757",,,,,"6.87013","4.894511",,,
"1781523044.759",,,,,,,"-0.767059","6.670396",
"1781523044.793","1.058","0.154","0.904",,,,,,
"1781523044.798",,,,"6.767059326171875",,,,,
"1781523044.804",,,,,"6.87013","4.894511",,,
"1781523044.806",,,,,,,"-0.767059",,
"1781523044.807",,,,,,,,"6.670396",
"1781523044.839","1.057",,,,,,,,
"1781523044.84",,"0.152","0.905",,,,,,
"1781523044.845",,,,"6.645143032073975",,,,,
"1781523044.851",,,,,"6.953948","4.894511","-0.645143",,
"1781523044.853",,,,,,,,"6.576492",
"1781523044.887","1.058","0.152","0.906",,,,,,
"1781523044.892",,,,"6.6359639167785645",,,,,
"1781523044.898",,,,,"6.960526","4.894511","-0.635964",,
"1781523044.9",,,,,,,,"6.569233",
"1781523044.934","1.059","0.152","0.907",,,,,,
"1781523044.939",,,,"6.626835823059082",,,,,
"1781523044.945",,,,,"6.967105","4.894511","-0.626836",,
"1781523044.947",,,,,,,,"6.561991",
"1781523044.981","1.058","0.154","0.904",,,,,,
"1781523044.986",,,,"6.767059326171875",,,,,
